battery_percent,battery_voltage,flight_mode,landed_state,heading,altitude,latitude,longitude,timestamp,elapsed_seconds,elapsed_minutes,easting,northing
55.000001190000006,22.08400154,stabilized,in_air,-173.050354,16.81500053,40.6333254,-8.6604196,1596200576604,62.541000000000004,1.04235,-11.695212467123465,28.1389270764977
55.000001190000006,22.07600021,stabilized,in_air,-170.3646088,16.79300117,40.6333227,-8.66042,1596200576806,62.743,1.0457166666666666,-11.755100913074722,27.894958850357884
55.000001190000006,22.07600021,stabilized,in_air,-167.5429688,16.75800133,40.6333199,-8.6604205,1596200577008,62.945,1.0490833333333334,-11.822966414495175,27.634146250141523
55.000001190000006,22.07600021,stabilized,in_air,-165.329361,16.70200157,40.6333176,-8.6604209,1596200577209,63.146,1.0524333333333333,-11.874756656846719,27.402414607289245
55.000001190000006,22.07600021,stabilized,in_air,-163.4311218,16.63100052,40.6333156,-8.6604214,1596200577410,63.347,1.0557833333333333,-11.930019076816606,27.18661497203064
55.000001190000006,22.07600021,stabilized,in_air,-161.4563599,16.56400108,40.6333139,-8.6604219,1596200577611,63.548,1.0591333333333333,-11.982520699129681,26.99892935842031
55.000001190000006,22.08000183,stabilized,in_air,-159.7967072,16.49200058,40.6333127,-8.6604224,1596200577812,63.749,1.0624833333333334,-12.029110487361754,26.850609490450964
55.000001190000006,22.08000183,stabilized,in_air,-158.5717621,16.41700172,40.6333119,-8.6604228,1596200578014,63.951,1.06585,-12.06271651239815,26.734410200326188
55.000001190000006,22.08000183,stabilized,in_air,-157.5517731,16.3200016,40.6333115,-8.6604232,1596200578216,64.153,1.0692166666666667,-12.08957175017076,26.63814947612352
55.000001190000006,22.08000183,stabilized,in_air,-157.3904419,16.19200134,40.6333115,-8.6604235,1596200578420,64.357,1.0726166666666666,-12.100298820777802,26.556035655531943
55.000001190000006,22.08000183,stabilized,in_air,-157.6320496,16.05900002,40.6333119,-8.6604236,1596200578621,64.558,1.0759666666666667,-12.089450372574113,26.504741430746826
55.000001190000006,22.10000038,stabilized,in_air,-158.2450714,15.91500092,40.6333124,-8.6604238,1596200578823,64.76,1.0793333333333335,-12.084663766931278,26.454918648649123
55.000001190000006,22.10000038,stabilized,in_air,-158.9020386,15.76900101,40.6333128,-8.660424,1596200579024,64.961,1.0826833333333332,-12.080722533669968,26.395296429836687
55.000001190000006,22.10000038,stabilized,in_air,-159.2414551,15.62700081,40.6333131,-8.6604241,1596200579226,65.163,1.08605,-12.069933622933938,26.329710873816495
55.000001190000006,22.10000038,stabilized,in_air,-159.6702423,15.48400116,40.6333132,-8.6604241,1596200579427,65.364,1.0894000000000001,-12.052805715988423,26.246437979287773
55.000001190000006,22.10000038,stabilized,in_air,-160.131958,15.33300114,40.6333131,-8.660424,1596200579628,65.565,1.0927499999999999,-12.028552658542418,26.140984023212336
56.000000240000006,22.11600113,stabilized,in_air,-160.524765,15.177001,40.6333128,-8.6604238,1596200579830,65.767,1.0961166666666666,-11.997511358083946,26.015274797569276
56.000000240000006,22.11600113,stabilized,in_air,-161.0619049,15.01900101,40.6333123,-8.6604236,1596200580032,65.96900000000001,1.0994833333333334,-11.968385588746802,25.87125159764891
56.000000240000006,22.11600113,stabilized,in_air,-161.405304,14.87500095,40.6333116,-8.6604232,1596200580234,66.171,1.10285,-11.926238283619814,25.719153310961506
56.000000240000006,22.11600113,stabilized,in_air,-161.9107819,14.74900055,40.6333109,-8.6604229,1596200580435,66.372,1.1062,-11.894479078971445,25.57862407311655
